n-gram,Frequency
THE,3396
AND,1852
ING,1499
HER,1084
WAS,823
HAT,814
ERE,760
HIS,701
THA,689
YOU,651
ENT,576
VER,565
FOR,552
THI,517
SHE,507
TER,506
ALL,497
ITH,483
GHT,479
OME,473
WIT,467
OUT,455
HAD,420
HIN,397
TED,385
IGH,380
ONE,362
EVE,361
RED,341
INT,338
OVE,336
ION,335
HEN,317
ESS,314
HIM,310
HOU,309
GAT,298
BUT,288
UGH,287
OUS,285
UND,278
FRO,278
OOK,276
ATS,274
STA,266
AIN,266
WHE,265
EAR,264
RES,264
SBY,264
ANT,263
ROM,263
TSB,263
OUN,262
MEN,259
EST,258
AID,256
ARD,254
AVE,251
WER,249
NCE,247
MAN,246
ATE,246
SOM,244
REA,244
NED,244
TIO,244
ORE,241
SAI,239
AME,238
KED,237
OUG,233
NOW,232
OUR,232
HAN,231
OWN,228
IVE,227
WAY,219
ELL,219
TOM,219
USE,216
LOO,214
NDE,211
IDE,209
ROU,209
INE,206
STE,205
EEN,203
NTE,203
AIS,203
TLE,202
OUL,201
WHI,199
TIN,198
ULD,198
BLE,197
CON,197
COM,193
DER,193
ERS,193
OLD,192
OTH,191
HEA,190
UST,189
DAI,188
ISY,187
ARE,182
BOU,179
AST,179
DOW,178
NTO,177
SED,176
CAR,174
RIE,172
COU,172
IND,171
HAV,171
LIT,171
ABO,171
LON,171
NIN,169
HEY,169
ART,169
ORT,167
SEE,167
ONG,166
ATI,165
PER,165
ITE,165
ORD,165
NOT,164
NTI,164
CHA,164
LED,163
FTE,163
ICE,162
KIN,159
TUR,158
MIN,155
WHA,155
WHO,155
THO,155
ANY,154
ILL,154
OKE,153
EAT,152
STI,152
DED,152
TEN,152
ERY,152
LOW,151
TTE,150
ACK,149
TOO,148
IST,148
TLY,146
NEW,145
MOR,144
VEN,144
DEN,143
LIN,142
LLE,142
AFT,142
THR,142
OSE,141
AKE,141
LES,141
DID,140
TRA,140
RIN,139
GET,139
STO,137
EAD,137
IME,137
LIK,136
IKE,136
TIM,136
REE,136
WAR,136
LEA,135
ABL,134
SON,134
ATH,133
ITT,133
END,133
ACE,133
HED,133
TEL,133
ILE,132
PLE,130
PPE,130
WIL,129
KNO,129
IED,129
ELY,129
SHO,128
LLY,127
EAS,127
OIN,126
ONT,126
AIR,124
BAC,123
DIN,123
PRE,122
WIN,122
INS,122
STR,122
EME,121
TAN,121
CAM,119
NES,119
UCH,118
