n-gram,Frequency
YOU,651
OUN,262
UNG,68
NGE,115
GER,81
AND,1852
MOR,144
ORE,241
VUL,4
ULN,3
LNE,4
NER,76
ERA,83
RAB,26
ABL,134
BLE,197
YEA,64
EAR,264
ARS,94
FAT,14
ATH,133
THE,3396
HER,1084
GAV,26
AVE,251
SOM,244
OME,473
ADV,17
DVI,4
VIC,13
ICE,162
THA,689
HAT,814
BEE,108
EEN,203
TUR,158
URN,113
RNI,58
NIN,169
ING,1499
OVE,336
VER,565
MIN,155
IND,171
EVE,361
SIN,117
INC,84
NCE,247
WHE,265
HEN,317
ENE,108
NEV,79
FEE,50
EEL,33
LIK,136
IKE,136
CRI,49
RIT,32
ITI,57
TIC,94
ICI,32
CIZ,1
IZI,8
ZIN,17
ANY,154
ONE,362
TOL,47
OLD,192
JUS,107
UST,189
REM,95
EME,121
MEM,39
EMB,63
MBE,47
BER,64
ALL,497
PEO,63
EOP,63
OPL,68
PLE,130
THI,517
HIS,701
WOR,115
ORL,37
RLD,34
HAV,171
VEN,144
HAD,420
DVA,7
VAN,30
ANT,263
NTA,52
TAG,9
AGE,101
GES,57
DID,140
IDN,91
SAY,56
BUT,288
ALW,34
LWA,36
WAY,219
AYS,74
UNU,9
NUS,5
USU,9
SUA,23
UAL,58
LLY,127
COM,193
OMM,26
MMU,7
MUN,4
UNI,21
NIC,58
ICA,99
CAT,51
ATI,165
TIV,26
IVE,227
RES,264
ESE,63
SER,55
ERV,41
RVE,21
VED,115
UND,278
NDE,211
DER,193
ERS,193
RST,86
STO,137
TOO,148
OOD,84
MEA,36
EAN,61
GRE,92
REA,244
EAT,152
DEA,53
EAL,72
HAN,231
CON,197
ONS,100
NSE,24
SEQ,3
EQU,13
QUE,42
UEN,10
ENC,86
NCL,13
CLI,13
LIN,142
INE,206
NED,244
JUD,5
UDG,4
DGM,2
GME,5
MEN,259
ENT,576
NTS,53
HAB,7
ABI,7
BIT,20
HAS,37
OPE,76
PEN,105
MAN,246
CUR,52
URI,39
RIO,47
IOU,69
OUS,285
NAT,31
ATU,19
URE,107
ALS,19
LSO,82
MAD,73
ADE,97
ICT,20
CTI,58
TIM,136
NOT,164
FEW,25
VET,5
ETE,47
TER,506
RAN,110
BOR,38
ABN,1
BNO,1
NOR,30
ORM,49
RMA,22
MAL,48
QUI,78
UIC,23
ICK,114
DET,17
TEC,4
ECT,116
ATT,71
TTA,9
TAC,18
ACH,96
ITS,67
TSE,19
SEL,106
ELF,87
QUA,35
ALI,71
LIT,171
ITY,102
APP,111
PPE,130
PEA,59
PER,165
RSO,23
SON,134
CAM,119
AME,238
ABO,171
BOU,179
OUT,455
COL,67
OLL,78
LLE,142
LEG,33
EGE,16
WAS,823
UNJ,1
NJU,1
STL,29
TLY,146
ACC,36
CCU,19
CUS,17
USE,216
SED,176
BEI,16
EIN,21
POL,53
OLI,58
CIA,17
IAN,26
BEC,62
ECA,58
CAU,59
AUS,65
PRI,69
RIV,75
IVY,2
SEC,28
ECR,11
CRE,54
RET,68
GRI,6
RIE,172
IEF,14
EFS,2
WIL,129
ILD,34
UNK,16
NKN,2
KNO,129
NOW,232
OWN,228
MOS,55
OST,104
ONF,33
NFI,18
FID,8
IDE,209
DEN,143
CES,73
WER,249
ERE,760
UNS,18
NSO,4
SOU,55
OUG,233
UGH,287
GHT,479
FRE,25
REQ,8
NTL,99
FEI,2
EIG,27
IGN,30
GNE,12
